,Random Forest
570,11913.42
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,12332.4475
688,0.0
689,0.0
690,0.0
691,0.0
692,8058.99
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,10894.46
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,8666.05
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,11744.6065
801,12140.760000000002
802,9103.343333333332
803,9348.364238095239
804,11867.042619047621
805,9971.644357142857
806,13989.154666666667
807,7142.1776666666665
808,9516.955
809,6215.729513708513
810,9240.142833333333
811,6299.66
812,10282.077142857142
813,5125.89369047619
814,11160.729833333335
815,4356.1315
816,8715.464999999998
817,8260.288333333332
818,8196.99
819,7164.821833333333
820,10282.077142857142
821,20376.16
822,9593.385666666667
823,8528.249857142855
824,7852.877333333333
825,8491.359
826,6466.286083333334
827,8491.359
828,8635.26
829,10761.136666666667
830,8461.810785714286
831,9452.40405952381
832,9769.071507936509
833,11280.7275
834,7546.047238095238
835,7318.308666666667
836,6756.675
837,11245.973166666667
838,11867.042619047621
839,7693.555611111111
840,3962.895
841,11744.6065
842,11254.660666666667
843,9576.436666666668
844,8461.810785714286
845,6001.235500000001
846,9102.559285714286
847,13146.61
848,8704.074166666665
849,11044.795952380951
850,17000.5
851,9102.559285714286
852,10293.385333333332
853,13942.62
854,7310.179166666668
855,11111.824166666665
856,8461.810785714286
857,8310.718166666666
858,8038.4191666666675
859,10098.336928571429
860,11686.298333333334
861,7613.552166666666
862,6656.655
863,8774.891464285716
864,8530.467833333334
865,8613.08
866,13039.46
867,14624.595
868,6483.545333333334
869,7823.91
870,12340.978333333334
871,10661.903523809524
872,12696.495
873,10017.871142857144
874,10098.336928571429
875,11963.092333333334
876,8461.810785714286
877,6679.079309523809
878,12334.756666666668
879,7394.4131428571445
880,13520.568285714286
881,8413.89798809524
882,9590.821666666667
883,9911.585357142856
884,6919.251666666666
885,12190.18
886,7613.552166666666
887,8957.4755
888,6769.851642857143
889,10624.889833333335
890,14198.49
891,10763.99
892,6913.261666666667
893,9500.401666666665
894,11756.849666666669
895,7670.384666666668
896,11066.469166666668
897,10841.958333333336
898,12791.742333333334
899,10291.687285714286
900,10161.236326839826
901,7702.35
902,7642.007166666666
903,16454.81
904,7871.319333333332
905,9240.142833333333
906,12735.981666666667
907,6403.367333333334
908,8774.891464285716
909,6974.263166666667
910,11195.55
911,8448.109690476189
912,10423.069166666668
913,8589.1375
914,6840.2565
915,13558.222
916,7420.067999999999
917,11345.38
918,14058.251666666665
919,12007.403333333332
920,10852.904333333334
921,12327.750833333332
922,7393.853666666665
923,11525.518333333335
924,9452.40405952381
925,6970.704166666667
926,6951.896666666667
927,13033.7275
928,9252.961309523811
929,4994.536666666667
930,5965.397499999999
931,12494.609404761904
932,12340.978333333334
933,9091.793
934,9950.138666666668
935,12791.742333333334
936,7656.481452380952
937,6255.94
938,10619.745
939,7393.853666666665
940,6974.263166666667
941,4693.9366666666665
942,9094.54125
943,7702.35
944,7200.286666666666
945,12924.26666666667
946,7301.69
947,12031.68
948,7468.204238095237
949,7656.481452380952
950,10291.687285714286
951,8073.253785714286
952,12586.166666666668
953,12879.27134920635
954,9160.389833333333
955,9553.039023809524
956,8634.925321428569
957,9697.165666666666
958,12334.756666666668
959,10488.054333333332
960,9967.268333333333
961,8803.5225
962,9880.663466089469
963,7340.7046666666665
964,5349.329500000001
965,7656.481452380952
966,14594.405000000004
967,8461.810785714286
968,12265.879166666666
969,9110.644285714287
970,9545.646392857141
971,12309.643095238094
972,9102.559285714286
973,9650.205
974,11555.506333333333
975,4887.363333333333
976,9598.655130952378
977,12696.495
978,8641.783222222222
979,7759.162
980,11741.561785714286
981,9042.789166666666
982,8698.05
983,9251.605833333333
984,11798.556666666667
985,12859.021761904762
986,10661.903523809524
987,6439.545
988,8554.302666666666
989,7887.935666666666
990,16367.81
991,12169.9795
992,10292.923333333332
993,8196.99
994,8405.757904761906
995,7670.384666666668
996,13390.802
997,11487.1515
998,8719.291833333333
999,7937.651119047619
1000,14055.685611111114
1001,6714.859333333334
1002,8091.370500000001
1003,8764.666833333331
1004,7546.047238095238
1005,12085.027333333333
1006,14953.5
1007,13583.974722222223
1008,8292.825833333332
1009,7228.423333333334
1010,10365.636380952381
1011,11411.446666666665
1012,12746.061666666665
1013,11315.553
1014,10357.233666666665
1015,4708.565
1016,10634.62
1017,8607.588166666668
1018,11018.895333333332
1019,10017.871142857144
1020,8764.666833333331
1021,10749.201666666668
1022,5576.761166666667
1023,9500.401666666665
1024,4994.536666666667
1025,7871.319333333332
1026,6656.655
1027,10569.920642857143
1028,9170.706666666667
1029,11755.743333333336
1030,12088.526999999996
1031,7052.1559761904755
1032,9118.010499999999
1033,9452.40405952381
1034,11171.401666666667
1035,12265.879166666666
1036,5503.888333333333
1037,8951.636023809524
1038,5067.973333333333
1039,10915.582166666667
1040,10001.959333333334
1041,0.0
1042,11362.823333333332
1043,6449.282666666666
1044,10764.6325
1045,8196.99
1046,9007.815
1047,7682.263500000001
1048,10157.085
1049,8705.035000000002
1050,10817.042
1051,8805.941166666667
1052,11369.013
1053,9851.525642857143
1054,15388.61
1055,13224.12866666667
1056,12823.357261904759
1057,11145.875
1058,11135.439619047618
1059,16755.837333333333
1060,10614.426666666664
1061,11846.92392857143
1062,10762.5325
1063,11637.865166666666
1064,7213.861666666667
1065,11615.961952380952
1066,6656.655
1067,9575.300416666667
1068,10538.793500000002
1069,10749.913333333332
1070,9650.049
1071,11683.485666666667
1072,11166.194607142857
1073,9874.426000000001
1074,14871.55
1075,11066.469166666668
1076,10563.665
1077,5314.803333333332
1078,9032.877
1079,6908.525111111111
1080,10875.06
1081,13520.568285714286
1082,10880.664166666666
1083,9436.423333333332
1084,14666.665
1085,6520.160333333332
1086,7067.595
1087,16168.31
1088,8208.991166666669
1089,7711.391500000001
1090,20234.85
1091,4937.6615
1092,8850.771785714285
1093,7829.838396825397
1094,9736.33
1095,5965.397499999999
1096,8718.752166666667
1097,9084.782166666666
1098,3575.459821428572
1099,11912.103166666664
1100,5077.8256666666675
1101,12263.939666666665
1102,12636.394166666667
1103,6726.197833333334
1104,7584.674999999999
1105,10419.687571428572
1106,9062.694333333333
1107,9780.066666666666
1108,8370.891373015875
1109,11497.575
1110,8363.713333333333
1111,11205.74
1112,6791.467833333334
1113,10077.257023809525
1114,12511.8625
1115,12015.058476190476
1116,10210.889666666666
1117,6974.263166666667
1118,13049.211051948054
1119,10852.904333333334
1120,10700.2765
1121,7167.964587301587
1122,10419.687571428572
1123,14640.129166666666
1124,10381.764666666666
1125,12825.351452380952
1126,11111.824166666665
1127,23643.43
1128,9348.364238095239
1129,9327.611833333334
1130,8763.381166666666
1131,22046.006666666668
1132,8805.941166666667
1133,9854.723523809524
1134,11867.042619047621
1135,5901.931666666667
1136,11480.1325
1137,7584.674999999999
1138,11316.023000000001
1139,9062.694333333333
1140,11195.55
1141,12581.350000000002
1142,10324.89080952381
1143,8641.783222222222
1144,8530.467833333334
1145,7996.610833333332
1146,9274.840392857142
1147,8202.332
1148,12906.041666666664
1149,12649.096023809525
1150,6724.923833333334
1151,9396.828797619048
1152,6101.243999999999
1153,8630.636666666665
1154,8528.249857142855
1155,8718.752166666667
1156,11316.023000000001
1157,16684.42
1158,10531.37214285714
1159,8851.666666666668
1160,11487.1515
1161,6070.577535714285
1162,6387.795666666667
1163,14058.251666666665
1164,10683.756833333331
1165,10324.89080952381
1166,7934.95680952381
1167,10538.793500000002
1168,13034.8075
1169,5897.5666666666675
1170,10852.904333333334
1171,6477.21
1172,14284.975
1173,16743.586166666668
1174,5377.029166666667
1175,6441.047111111111
1176,8740.676833333333
1177,10737.295833333332
1178,10365.636380952381
1179,7934.95680952381
1180,5965.397499999999
1181,13633.504166666668
1182,10954.71
1183,8482.40407936508
1184,17162.186
1185,13070.893666666667
1186,21875.73
1187,13520.568285714286
1188,13520.568285714286
1189,5854.056750000001
1190,16916.26
1191,10001.959333333334
1192,20963.13
1193,13564.389666666666
1194,7067.275
1195,8589.1375
1196,12746.53
1197,8984.703833333335
1198,10112.613000000001
1199,6215.729513708513
1200,15539.343333333334
1201,9007.815
1202,12823.357261904759
1203,8405.596095238094
1204,13049.211051948054
1205,5746.7
1206,7759.162
1207,16034.84
1208,7202.1066666666675
1209,14857.52
1210,23874.29
1211,9744.315
1212,9943.946793650794
1213,6770.342000000001
1214,10954.71
1215,6441.047111111111
1216,11573.62045238095
1217,11280.7275
1218,14007.454857142857
1219,8704.074166666665
1220,7337.17
1221,10054.486833333334
1222,13520.568285714286
1223,11371.485083333333
1224,9950.138666666668
1225,12798.974833333332
1226,8729.367666666667
1227,9170.2725
1228,7337.17
1229,11639.621000000001
1230,8641.783222222222
1231,6249.821666666668
1232,8116.310999999999
1233,13291.92
1234,10004.7315
1235,5746.7
1236,13007.71130952381
1237,10282.077142857142
1238,10007.613333333335
1239,7561.668333333332
1240,15117.452666666666
1241,7257.2384999999995
1242,15971.82
1243,11647.5
1244,5152.665
1245,11157.304833333334
1246,9953.699999999999
1247,8701.082222222223
1248,12148.938999999998
1249,9336.868892857143
1250,6181.860190476191
1251,11687.834833333334
1252,4360.7915
1253,8641.783222222222
1254,17000.5
1255,9851.525642857143
1256,7337.17
1257,10568.083285714285
1258,10291.687285714286
1259,6036.798583333334
1260,7586.467500000002
1261,12473.715
1262,6696.443333333334
1263,23771.21
1264,8691.773000000001
1265,11423.429833333334
1266,9854.723523809524
1267,6522.852
1268,19023.433999999997
1269,7800.3609166666665
1270,14464.97
1271,15222.116666666667
1272,10507.403333333335
1273,12498.813833333334
1274,7318.308666666667
1275,14581.994166666665
1276,6239.647142857143
1277,8589.1375
1278,9999.812249999999
1279,9566.479166666668
1280,10017.871142857144
1281,11068.6625
1282,7645.6365000000005
1283,10605.796666666665
1284,10293.385333333332
1285,7933.0775
1286,9114.194833333335
1287,9500.401666666665
1288,19902.79
1289,14690.34
1290,7561.668333333332
1291,11573.62045238095
1292,9557.0615
1293,9624.12
1294,4870.47
1295,7199.739111111112
1296,10761.317666666666
1297,9570.059166666666
1298,10920.3785
1299,10244.84
1300,7265.142916666667
1301,7938.840333333332
1302,9744.315
1303,16801.76
1304,12494.609404761904
1305,11645.483999999999
1306,5928.02
1307,14839.93
1308,7449.227
1309,12749.83
1310,10293.385333333332
1311,8038.4191666666675
1312,12331.822285714285
1313,8419.542500000001
1314,9967.268333333333
1315,5642.825
1316,10492.856226190477
1317,7067.595
1318,9240.142833333333
1319,14255.485
1320,9152.1565
1321,8701.082222222223
1322,12305.39095238095
1323,12545.23
1324,7934.95680952381
1325,22765.14
1326,14314.605
1327,6743.380000000001
1328,8554.302666666666
1329,8704.074166666665
1330,11912.103166666664
1331,8851.666666666668
1332,10716.561944444446
1333,9005.869039682537
1334,9274.840392857142
1335,6916.560833333334
1336,13219.546285714288
1337,7040.9175
1338,8740.676833333333
1339,7356.681777777778
1340,9598.655130952378
1341,4408.741666666667
1342,8691.773000000001
1343,8341.485833333334
1344,7228.423333333334
1345,14679.101166666669
1346,9062.694333333333
1347,17825.710166666668
1348,14814.896666666666
1349,12981.890500000001
1350,9880.663466089469
1351,8146.469
1352,9425.716666666667
1353,10563.665
1354,8625.0285
1355,12746.53
1356,8951.636023809524
1357,7852.877333333333
1358,9783.981666666667
1359,5774.52
1360,7711.391500000001
1361,6911.503333333334
1362,6249.821666666668
1363,9744.315
1364,10006.6625
1365,7337.17
1366,8704.074166666665
1367,9319.850595238097
1368,20876.46
1369,12140.760000000002
1370,25541.31
1371,6522.852
1372,9032.877
1373,8554.302666666666
1374,7787.237333333333
1375,9032.877
1376,10324.89080952381
1377,10845.535499999998
1378,5811.02
1379,6036.798583333334
1380,8704.074166666665
1381,8461.810785714286
1382,10543.230166666666
1383,11276.310666666666
1384,16061.913785714285
1385,8696.025166666666
1386,11915.145
1387,12140.760000000002
1388,9512.28133333333
1389,12358.080214285714
1390,10357.233666666665
1391,9575.300416666667
1392,11737.72
1393,15474.33
1394,7702.35
1395,12279.522333333332
1396,11159.8875
1397,13285.878250000002
1398,7878.5875
1399,10769.213333333335
1400,13285.878250000002
1401,8461.810785714286
1402,6770.342000000001
1403,7252.604666666667
1404,12503.238833333335
1405,8288.4175
1406,5124.7320238095235
1407,17142.615
1408,8851.666666666668
1409,13346.665833333334
1410,20013.46
1411,8022.86919047619
1412,8663.584952380952
1413,5939.8333571428575
1414,10852.904333333334
1415,5530.291666666668
1416,7515.487500000001
1417,7603.095523809522
1418,9953.699999999999
1419,5351.321999999999
1420,13095.51
1421,9602.213333333333
1422,8390.71966666667
1423,10017.871142857144
1424,9500.401666666665
1425,12924.26666666667
1426,7871.319333333332
1427,6911.503333333334
1428,11245.973166666667
1429,7105.517444444445
1430,13784.907
1431,9152.1565
1432,8763.381166666666
1433,11151.834285714287
1434,7199.739111111112
1435,13439.365
1436,8850.771785714285
1437,7741.400166666667
1438,9132.139000000001
1439,7800.3609166666665
1440,6862.349666666667
1441,11066.469166666668
1442,14900.19278571429
1443,11292.184523809527
1444,11035.733785714283
1445,11744.6065
1446,12169.9795
1447,14179.146666666666
1448,7774.040454545454
1449,9766.2425
1450,11785.977749999996
1451,10004.7315
1452,14620.7
1453,6872.738333333334
1454,20184.4
1455,14581.994166666665
1456,7228.4
1457,14494.843333333334
1458,11846.92392857143
1459,11289.188666666667
1460,4314.589
1461,8370.891373015875
1462,15971.82
1463,11423.429833333334
1464,11160.729833333335
1465,5930.7283333333335
1466,7688.346666666667
1467,4753.14
1468,7878.5875
1469,9234.489333333333
1470,8566.4505
1471,11343.66
1472,11959.041333333333
1473,8082.436333333333
1474,10749.201666666668
1475,8530.467833333334
1476,6488.959666666667
1477,12331.822285714285
1478,11798.556666666667
1479,7166.615
1480,8616.811023809523
1481,9086.262047619048
1482,11886.636833333334
1483,6215.729513708513
1484,10423.069166666668
1485,7178.745571428572
1486,15004.07
1487,7072.490833333333
1488,11195.55
1489,11963.528666666667
1490,11316.023000000001
1491,9451.193333333333
1492,12924.26666666667
1493,9439.3205
1494,9012.934000000001
1495,14859.69
1496,9516.955
1497,4432.595
1498,11160.729833333335
1499,9981.428333333333
1500,10314.49380952381
1501,0.0
1502,11814.945
1503,7010.147499999999
1504,11063.42
1505,7942.096833333332
1506,9236.111380952381
1507,6299.66
1508,6961.883333333332
1509,9251.605833333333
1510,13306.505833333335
1511,12636.394166666667
1512,7591.42875
1513,9252.961309523811
1514,10293.385333333332
1515,10543.230166666666
1516,5077.8256666666675
1517,11963.092333333334
1518,8850.771785714285
1519,8196.99
1520,8196.99
1521,8448.109690476189
1522,11944.85723809524
1523,11373.1975
1524,5849.950333333334
1525,12202.565833333332
1526,12043.54
1527,5746.7
1528,9032.877
1529,10531.37214285714
1530,15108.54
1531,7171.042833333333
1532,6660.59819047619
1533,10737.295833333332
1534,10381.764666666666
1535,6387.795666666667
1536,7613.552166666666
1537,11145.875
1538,5965.397499999999
1539,6403.367333333334
1540,10852.643
1541,7335.917333333333
1542,7638.27
1543,13986.07
1544,13515.647333333334
1545,7105.517444444445
1546,13094.087500000005
1547,11766.238333333333
1548,8082.436333333333
1549,9278.446666666667
1550,10819.765
1551,10875.06
1552,7335.917333333333
1553,6333.684166666668
1554,14859.713333333335
1555,8151.345
1556,12169.9795
1557,7394.4131428571445
1558,6449.282666666666
1559,9516.955
1560,7213.861666666667
1561,7693.555611111111
1562,5084.111166666667
1563,5125.89369047619
1564,7199.739111111112
1565,11647.483333333332
1566,10619.745
1567,7199.739111111112
1568,7693.555611111111
1569,11369.013
1570,5314.803333333332
1571,6696.443333333334
1572,7878.5875
1573,8957.4755
1574,11963.092333333334
1575,13007.71130952381
1576,8260.921666666667
1577,8729.367666666667
1578,8029.846000000001
1579,8233.507666666666
1580,10646.611
1581,8214.54707142857
1582,9519.435000000001
1583,9196.172285714285
1584,9296.295166666667
1585,6007.596499999999
1586,10388.231666666665
1587,5729.553055555555
1588,8679.101392857143
1589,6879.6624999999985
1590,7808.081499999999
1591,10394.632166666668
1592,9134.472666666667
1593,9345.84
1594,12130.068333333335
1595,7309.263880952381
1596,8814.611666666668
1597,6947.195
1598,19398.36
1599,6717.190500000001
1600,8441.947595238096
1601,5605.599642857143
1602,9045.407095238095
1603,5934.770519480519
1604,7193.5244999999995
1605,6399.969166666668
1606,3936.975
1607,9679.268095238094
1608,6792.607333333334
1609,6792.607333333334
1610,6086.209833333331
1611,5910.731
1612,11458.5695
1613,13638.220500000001
1614,6789.7637857142845
1615,6955.851880952382
1616,9609.593238095238
1617,8316.848499999998
1618,6996.281333333334
1619,9659.608666666667
1620,18533.94
1621,5302.375
1622,6753.941777777779
1623,5223.039928571428
1624,4119.56
1625,7589.659333333332
1626,6704.687190476191
1627,6023.173595238095
1628,7316.8879166666675
1629,11820.479428571425
1630,9742.151666666667
1631,10378.66
1632,7201.373880952379
1633,7472.507333333334
1634,8648.052916666666
1635,7259.530166666668
1636,0.0
1637,6947.195
1638,5891.793666666666
1639,10737.3825
1640,5781.351500000001
1641,6614.775
1642,7784.401249999999
1643,10637.800476190476
1644,10805.08375
1645,7726.079714285715
1646,6055.866142857142
1647,14908.54
1648,11514.926666666664
1649,5929.045166666666
1650,5231.075238095238
1651,6035.8966666666665
1652,10224.965
1653,8961.53
1654,8211.351
1655,3719.42
1656,13435.928666666667
1657,5805.270333333333
1658,8995.0265
1659,6033.490000000002
1660,4673.6425
1661,9564.781166666668
1662,7996.275
1663,9564.781166666668
1664,9981.27
1665,6640.1625
1666,8100.4056666666675
1667,7213.4480952380945
1668,6128.303476190476
1669,8939.4585
1670,8893.813595238094
1671,12713.858
1672,9372.5
1673,7521.8730000000005
1674,11458.1
1675,10170.295
1676,8268.473476190477
1677,17789.79
1678,4480.586666666667
1679,10201.953333333333
1680,6370.886666666666
1681,8591.341738095238
1682,6562.6975
1683,8840.991095238096
1684,7283.030309523809
1685,16908.09
1686,6020.948761904761
1687,7743.272333333334
1688,7472.507333333334
1689,8804.69
1690,8372.283416666665
1691,13250.041666666664
1692,6762.693817460318
1693,11367.873333333335
1694,7602.048023809524
1695,9888.423333333332
1696,6887.884333333333
1697,6792.607333333334
1698,9164.228000000001
1699,10565.765119047619
1700,9199.593666666668
1701,6063.681666666666
1702,10391.0855
1703,5772.789333333333
1704,10394.632166666668
1705,9799.313083333334
1706,9825.662666666665
1707,9095.411857142857
1708,10906.625
1709,7701.182585858585
1710,8217.502333333332
1711,7316.8879166666675
1712,9648.47
1713,8735.108595238096
